MCU_linear_response.csvtime,Y4_sat,angle_setpoint
0.748494,7.356874,7.360384
0.749620,7.372645,7.377357
0.750596,7.387065,7.391777
0.751501,7.402386,7.406497
0.752490,7.417406,7.421668
0.753479,7.432877,7.436688
0.754590,7.448799,7.453511
0.755574,7.464119,7.468531
0.756512,7.478689,7.482800
0.757621,7.496413,7.499924
0.758477,7.508880,7.512841
0.759490,7.524351,7.528162
0.760488,7.539221,7.543333
0.761541,7.554842,7.559254
0.762514,7.570163,7.574124
0.763496,7.585334,7.589295
0.764555,7.600354,7.605517
0.765494,7.615525,7.619786
0.766479,7.630695,7.634807
0.767480,7.645866,7.650127
0.768528,7.661337,7.665899
0.769554,7.677108,7.680919
0.770497,7.692129,7.695940
0.771560,7.707900,7.712162
0.772516,7.722470,7.726581
0.773560,7.737640,7.742653
0.774516,7.753111,7.756772
0.775600,7.768132,7.773445
0.776559,7.784204,7.788315
0.777550,7.798773,7.803485
0.778507,7.813794,7.818055
0.779745,7.829114,7.836380
0.780497,7.844435,7.848396
0.781487,7.859456,7.863567
0.782567,7.874776,7.879939
0.783492,7.890247,7.894058
0.784487,7.905118,7.909529
0.785502,7.920438,7.924550
0.786491,7.935909,7.939870
0.787479,7.950779,7.954891
0.788413,7.966100,7.969160
0.789537,7.981872,7.986133
0.790516,7.996742,8.001000
0.791497,8.012174,8.016273
0.792526,8.027745,8.031694
0.793494,8.042269,8.046368
0.794696,8.057391,8.061490
0.795511,8.072963,8.077062
0.796555,8.088684,8.092783
0.797539,8.103956,8.107456
0.798676,8.119079,8.124974
0.799504,8.133902,8.137701
0.800487,8.148575,8.152674
0.801483,8.163997,8.167796
0.802478,8.178969,8.183068
0.803527,8.194691,8.198790
0.804588,8.209514,8.214211
0.805482,8.224786,8.228885
0.806493,8.239908,8.243857
0.807472,8.255180,8.259130
0.808391,8.270153,8.273054
0.809516,8.285425,8.289524
0.810577,8.301895,8.306144
0.811523,8.316718,8.320368
0.812506,8.331391,8.335340
0.813469,8.346214,8.350313
0.814491,8.361486,8.365585
0.815492,8.376609,8.380708
0.816515,8.391731,8.396579
0.817478,8.407602,8.411252
0.818503,8.422276,8.426674
0.819494,8.437997,8.441647
0.820590,8.452670,8.457667
0.821580,8.467942,8.472790
0.822474,8.483364,8.487313
0.823489,8.498337,8.502585
0.824512,8.513759,8.518007
0.826006,8.529630,8.540017
0.826541,8.545351,8.548851
0.827501,8.559425,8.563375
0.828502,8.574548,8.578647
0.829521,8.589670,8.593769
0.830537,8.604793,8.609341
0.831790,8.621712,8.627607
0.832528,8.635337,8.639585
0.833717,8.650609,8.657702
0.834486,8.665731,8.669681
0.835477,8.681303,8.684803
0.836478,8.695827,8.699776
0.837481,8.711099,8.715198
0.838523,8.726670,8.730619
0.839468,8.741942,8.745592
0.840555,8.756765,8.761613
0.841564,8.772786,8.777184
0.842498,8.787310,8.791259
0.843498,8.802282,8.806830
0.844524,8.817854,8.822402
0.845599,8.833276,8.838573
0.846516,8.848548,8.852647
0.847534,8.863221,8.868069
0.848746,8.878942,8.885736
0.849498,8.893765,8.897864
0.850492,8.908888,8.912987
0.851524,8.924310,8.928858
0.852544,8.939432,8.944130
0.853522,8.955153,8.958953
0.854494,8.969827,8.973776
0.855506,8.984650,8.989048
0.856485,8.999922,9.003871
0.857466,9.015194,9.019143
0.858537,9.030316,9.035014
0.859535,9.046187,9.050137
0.860476,9.060861,9.064810
0.861499,9.075983,9.080232
0.862498,9.091105,9.095204
0.863465,9.106527,9.110327
0.864403,9.121350,9.124251
0.865568,9.137072,9.141769
0.866519,9.152493,9.156293
0.867516,9.167466,9.171715
0.868521,9.182738,9.186987
0.869664,9.199059,9.204355
0.870493,9.212983,9.216783
0.871486,9.227806,9.231905
0.872664,9.243228,9.249722
0.873812,9.260447,9.266192
0.874557,9.273772,9.278470
0.875472,9.289194,9.292694
0.876489,9.303867,9.307966
0.877473,9.319139,9.323238
0.878481,9.334262,9.338211
0.879542,9.349534,9.353932
0.880524,9.365106,9.369354
0.881476,9.379929,9.384027
0.882486,9.395051,9.399000
0.883488,9.410323,9.414272
0.884393,9.425296,9.428197
0.885461,9.440867,9.444517
0.886521,9.455990,9.460538
0.887810,9.471262,9.475211
0.888681,9.488481,9.493478
0.889528,9.501657,9.505755
0.890497,9.516629,9.520728
0.891521,9.531752,9.536300
0.892474,9.547024,9.550973
0.893597,9.562446,9.567742
0.894523,9.578017,9.581966
0.895504,9.592990,9.596939
0.896498,9.607963,9.611912
0.897470,9.622935,9.626884
0.898466,9.638058,9.642007
0.899487,9.653330,9.657578
0.900513,9.669051,9.673150
0.901560,9.685072,9.689021
0.902697,9.702141,9.706389
0.903647,9.714418,9.720015
0.904512,9.729990,9.733939
0.905493,9.745112,9.748762
0.906489,9.760085,9.763735
0.907666,9.775806,9.781403
0.908579,9.791079,9.795627
0.909597,9.806351,9.811049
0.910537,9.821024,9.825422
0.911765,9.836446,9.843539
0.912507,9.851269,9.855368
0.913489,9.866241,9.870191
0.914536,9.881963,9.886361
0.915531,9.897085,9.901334
0.916511,9.911908,9.916007
0.917498,9.927180,9.931279
0.918497,9.942452,9.946402
0.919612,9.957874,9.963171
0.920509,9.972697,9.976796
